Date,Close,High,Low,Open,Volume
2020-01-02,6283.5810546875,6317.01318359375,6263.67578125,6313.1279296875,33043700
2020-01-03,6323.4658203125,6323.4658203125,6287.7060546875,6306.18701171875,44625300
2020-01-06,6257.40283203125,6300.43603515625,6252.634765625,6293.4990234375,41421300
2020-01-07,6279.34619140625,6284.89208984375,6246.12890625,6272.22021484375,39441600
2020-01-08,6225.68603515625,6250.1220703125,6218.1298828125,6248.44287109375,44622600
2020-01-09,6274.4931640625,6274.4931640625,6238.98291015625,6248.6611328125,41868400
2020-01-10,6274.94091796875,6295.3701171875,6271.97998046875,6287.1669921875,52213500
2020-01-13,6296.56689453125,6297.77587890625,6269.48095703125,6287.912109375,44003800
2020-01-14,6325.40576171875,6325.40576171875,6298.60791015625,6308.89013671875,44467400
2020-01-15,6283.365234375,6348.52587890625,6255.498046875,6326.166015625,51089200
2020-01-16,6286.0478515625,6299.541015625,6255.4931640625,6275.9560546875,42118300
2020-01-17,6291.6572265625,6301.48486328125,6266.93212890625,6293.7822265625,37597900
2020-01-20,6245.04296875,6312.98876953125,6240.18994140625,6310.5009765625,38818200
2020-01-21,6238.15283203125,6257.884765625,6226.06396484375,6251.9970703125,41929600
2020-01-22,6233.453125,6265.51416015625,6223.18994140625,6241.5751953125,51077800
2020-01-23,6249.2099609375,6255.04296875,6229.130859375,6243.998046875,41256500
2020-01-24,6244.10888671875,6258.85107421875,6234.8251953125,6242.8349609375,38828900
2020-01-27,6133.2080078125,6242.1767578125,6130.92822265625,6240.81787109375,43723000
2020-01-28,6111.18408203125,6111.18408203125,6111.18408203125,6111.18408203125,0
2020-01-29,6113.044921875,6152.5888671875,6102.7958984375,6123.09521484375,34605300
2020-01-30,6057.59619140625,6057.59619140625,6057.59619140625,6057.59619140625,0
2020-01-31,5940.0478515625,6078.93017578125,5937.02197265625,6076.458984375,41508700
2020-02-03,5884.169921875,5942.7822265625,5877.201171875,5920.9677734375,34951000
2020-02-04,5922.3388671875,5952.94677734375,5911.375,5947.5068359375,36217700
2020-02-05,5978.509765625,5978.509765625,5924.3740234375,5955.51904296875,39786600
2020-02-06,5987.14501953125,6013.69921875,5969.48486328125,6002.919921875,39909700
2020-02-07,5999.60693359375,6004.81201171875,5981.64404296875,5988.05810546875,35281700
2020-02-10,5952.0830078125,5996.4658203125,5937.380859375,5993.376953125,34305400
2020-02-11,5954.39697265625,5975.16015625,5946.22021484375,5974.0,33700000
2020-02-12,5913.0810546875,5962.34716796875,5895.72412109375,5957.06005859375,29256800
2020-02-13,5871.9541015625,5929.4990234375,5860.2548828125,5921.912109375,33248200
2020-02-14,5866.94482421875,5890.02880859375,5843.43212890625,5857.72119140625,27655200
2020-02-17,5867.52294921875,5878.4638671875,5853.59814453125,5863.9140625,28723300
2020-02-18,5886.9619140625,5907.13916015625,5855.9248046875,5856.880859375,34641400
2020-02-19,5928.791015625,5928.791015625,5898.701171875,5898.89990234375,34517800
2020-02-20,5942.48681640625,5960.712890625,5929.14501953125,5941.4501953125,37350100
2020-02-21,5882.2548828125,5944.205078125,5873.73193359375,5940.78515625,36665400
2020-02-24,5807.0498046875,5863.1240234375,5787.919921875,5846.14599609375,40039600
2020-02-25,5787.13818359375,5814.67919921875,5752.3349609375,5784.73681640625,39502600
2020-02-26,5688.9208984375,5757.740234375,5688.9208984375,5757.1669921875,39521300
2020-02-27,5535.69384765625,5684.2861328125,5526.81689453125,5680.43701171875,41308700
2020-02-28,5452.7041015625,5456.27587890625,5288.3701171875,5436.171875,49636800
2020-03-02,5361.24609375,5491.134765625,5354.6201171875,5455.0458984375,40235000
2020-03-03,5518.6279296875,5545.77392578125,5431.2958984375,5431.2958984375,42974300
2020-03-04,5650.13623046875,5651.85498046875,5516.80517578125,5524.09423828125,45255400
2020-03-05,5638.1298828125,5715.94091796875,5613.71923828125,5688.77880859375,40684000
2020-03-06,5498.5400390625,5577.8017578125,5498.5400390625,5575.56591796875,32430900
2020-03-09,5136.80908203125,5364.60400390625,5133.15087890625,5364.60400390625,42737600
2020-03-10,5220.826171875,5278.4228515625,5149.4521484375,5149.4931640625,44495700
2020-03-11,5154.10498046875,5264.47998046875,5112.31884765625,5231.60888671875,46650100
2020-03-12,4895.748046875,5040.98779296875,4895.748046875,5040.96484375,36992900
2020-03-13,4907.57080078125,4937.9931640625,4639.9140625,4895.748046875,46288600
2020-03-16,4690.6572265625,4907.57080078125,4677.75,4907.57080078125,30471900
2020-03-17,4456.7490234375,4698.0439453125,4447.9560546875,4690.6572265625,30662200
2020-03-18,4330.673828125,4473.82421875,4284.6748046875,4456.7490234375,38642900
2020-03-19,4105.421875,4330.673828125,4093.714111328125,4330.673828125,26383700
2020-03-20,4194.94384765625,4238.26318359375,3918.340087890625,4105.421875,63008300
